"idConfiguration","ACK","BIB","BOLD_ACK","BREF","EMAIL","JS_FOOTNOTESIZE","JS_SCRIPTSIZE","JS_STYLE","JS_TINY","LONG_ACK","LONG_AFFILIATION","PARAGRAPH_ACK","PL_FOOTNOTE","VARY_LATEX","bref_size","cserver_size","vspace_bib","nbPages","sizePDF"
"69","true","true","true","true","false","false","false","true","true","true","false","false","false","true","1.0","0.8","0.6","4","216"
"316","true","true","true","true","true","false","false","true","true","false","true","false","true","true","0.7","0.8","0.5","4","220"
"313","false","true","false","true","false","false","false","true","true","false","false","false","true","true","0.7","0.7","2.5","4","216"
"470","true","true","true","true","false","false","false","true","true","true","true","false","true","true","1.0","0.9","0.1","5","216"
"145","true","true","false","true","true","false","false","true","true","false","true","true","false","true","1.0","0.7","2.0","4","224"
"412","true","true","false","true","true","false","true","true","false","true","true","true","true","true","0.9","0.9","0.1","5","228"
"131","true","true","false","true","true","false","false","true","true","true","true","true","true","true","1.0","0.8","2.0","5","224"
"228","false","true","false","true","false","false","false","true","true","false","true","false","false","true","0.8","0.9","3.9","4","216"
"476","true","true","true","true","true","false","false","true","true","false","true","false","false","true","0.8","0.7","2.2","4","216"
"64","true","true","true","true","true","false","true","true","false","true","true","false","true","true","0.8","0.8","1.6","5","220"
"178","true","true","true","true","false","false","false","true","true","true","false","false","true","true","0.9","0.7","1.0","4","216"
"229","true","true","true","true","false","false","false","true","true","false","false","false","true","true","0.9","0.8","4.5","4","216"
"282","true","true","false","true","false","false","false","true","true","true","false","true","false","true","0.8","0.7","2.7","4","224"
"244","true","true","true","true","false","false","true","true","false","true","false","false","true","true","0.9","0.9","1.9","5","216"
"67","false","true","false","true","true","false","false","true","true","false","true","false","false","true","1.0","0.7","0.8","4","216"
"344","true","true","true","true","false","false","true","true","false","false","true","false","false","true","0.9","0.8","1.5","5","216"
"226","true","true","true","true","false","false","false","true","true","true","false","false","false","true","0.8","0.9","3.1","4","216"
"103","true","true","true","true","false","false","true","true","false","false","false","false","false","true","0.9","0.9","0.4","5","216"
"381","true","true","true","true","false","false","false","true","true","true","false","false","true","true","0.9","0.8","2.3","4","216"
"333","true","true","true","true","false","false","true","true","false","true","false","false","true","true","0.9","0.7","3.1","5","216"
"365","true","true","true","true","false","false","true","true","false","true","false","false","false","true","1.0","0.8","0.1","5","216"
"135","true","true","false","true","true","false","true","true","false","true","true","true","true","true","0.8","0.8","0.8","5","228"
"237","true","true","true","true","true","false","true","true","false","true","true","false","false","true","0.9","0.7","3.8","4","216"
"338","true","true","false","true","false","false","false","true","true","true","false","true","false","true","1.0","0.7","1.4","4","224"
"51","true","true","false","true","false","false","false","true","true","true","false","true","true","true","0.9","0.7","1.6","4","224"
"294","true","true","true","true","false","false","false","true","true","true","true","false","true","true","0.9","0.9","2.3","5","216"
"467","true","true","false","true","false","false","false","true","true","true","false","true","true","true","0.7","0.7","3.3","4","224"
"248","true","true","false","true","true","false","true","true","false","true","true","true","true","true","0.9","0.8","1.3","5","228"
"23","true","true","true","true","false","false","true","true","false","true","false","false","false","true","1.0","0.7","3.5","5","220"
"251","false","true","false","true","false","false","true","true","false","false","false","false","false","true","0.8","0.7","0.3","4","216"
"242","false","true","false","true","false","false","true","true","false","false","true","false","true","true","0.9","0.9","3.9","5","216"
"409","true","true","false","true","false","false","false","true","true","true","false","true","false","true","0.7","0.7","3.5","4","224"
"309","true","true","true","true","true","false","false","true","true","true","true","false","false","true","0.7","0.7","0.5","4","216"
"142","true","true","true","true","true","false","false","true","true","true","true","false","true","true","0.9","0.7","0.7","4","220"
"303","true","true","true","true","false","false","false","true","true","false","false","false","true","true","1.0","0.8","0.3","4","216"
"6","true","true","true","true","false","false","false","true","true","true","true","false","false","true","0.9","0.7","0.0","4","216"
"28","true","true","false","true","false","false","true","true","false","false","false","true","true","true","0.9","0.8","3.2","5","224"
"52","true","true","false","true","true","false","true","true","false","true","true","true","false","true","0.8","0.8","0.8","5","228"
"216","true","true","true","true","true","false","false","true","true","false","true","false","true","true","1.0","0.7","0.9","4","220"
"177","true","true","true","true","false","false","false","true","true","false","true","false","true","true","1.0","0.9","3.9","5","216"
"111","true","true","false","true","false","false","false","true","true","true","false","true","true","true","0.7","0.9","2.6","5","224"
"269","true","true","true","true","true","false","false","true","true","false","true","false","false","true","0.7","0.8","3.0","4","220"
